employeeId,firstName,lastName,managerId,fullName,email,department,region,location,inactiveIdentity,Type,costcenter
1a2c3a4c,Jeffrey,Murphy,1a2c3a,Jeffrey.Murphy,Jeffrey.Murphy@demoexample.com,Accounting,Americas,San Jose,FALSE,Contractor,"R03e, L08e"
1a2c3a4d,Melissa,Bailey,1a2c3a,Melissa.Bailey,Melissa.Bailey@demoexample.com,Accounting,Americas,San Jose,FALSE,Contractor,"R03e, L08e"
1a2c3b4c,Nancy,Cox,1a2c3b,Amy.Cox,Amy.Cox@demoexample.com,Accounting,Americas,San Jose,FALSE,Contractor,"R03e, L08e"
1a2c3b4d,Eric,Howard,1a2c3b,Eric.Howard,Eric.Howard@demoexample.com,Accounting,Americas,San Jose,FALSE,Contractor,"R03e, L08e"
1a2c3c4c,Andrew,Gray,1a2c3c,Andrew.Gray,Andrew.Gray@demoexample.com,Finance,Americas,San Jose,FALSE,Contractor,"R03e, L08e"
1a2c3c4d,Virginia,Ramirez,1a2c3c,Virginia.Ramirez,Virginia.Ramirez@demoexample.com,Finance,Americas,San Jose,FALSE,Contractor,"R03e, L08e"
1a2c3d4c,Pamela,Kelly,1a2c3d,Pamela.Kelly,Pamela.Kelly@demoexample.com,Finance,Americas,San Jose,FALSE,Contractor,"R03e, L08e"
1a2c3d4d,Joshua,Sanders,1a2c3d,Joshua.Sanders,Joshua.Sanders@demoexample.com,Finance,Americas,San Jose,FALSE,Contractor,"R03e, L08e"
1b2a3a4c,Arthur,Bryant,1b2a3a,Arthur.Bryant,Arthur.Bryant@demoexample.com,Information Technology,Europe,Brussels,FALSE,Contractor,"R01e, L01e"
1b2a3a4d,Ann,Alexander,1b2a3a,Ann.Alexander,Ann.Alexander@demoexample.com,Information Technology,Europe,Brussels,FALSE,Contractor,"R01e, L01e"
1b2a3b4c,Diane,Hayes,1b2a3b,Diane.Hayes,Diane.Hayes@demoexample.com,Information Technology,Europe,Brussels,FALSE,Contractor,"R01e, L01e"
1b2a3b4d,Joe,Myers,1b2a3b,Joe.Myers,Joe.Myers@demoexample.com,Information Technology,Europe,Brussels,FALSE,Contractor,"R01e, L01e"
1b2a3c4c,Jack,Sullivan,1b2a3c,Jack.Sullivan,Jack.Sullivan@demoexample.com,Engineering,Europe,Brussels,FALSE,Contractor,"R01e, L01e"
1b2a3c4d,Heather,Wallace,1b2a3c,Heather.Wallace,Heather.Wallace@demoexample.com,Engineering,Europe,Brussels,FALSE,Contractor,"R01e, L01e"
1b2a3d4c,Doris,Jordan,1b2a3d,Doris.Jordan,Doris.Jordan@demoexample.com,Engineering,Europe,Brussels,FALSE,Contractor,"R01e, L01e"
1b2a3d4d,Justin,Owens,1b2a3d,Justin.Owens,Justin.Owens@demoexample.com,Engineering,Europe,Brussels,FALSE,Contractor,"R01e, L01e"
1b2b3a4c,Gerald,Harrison,1b2b3a,Gerald.Harrison,Gerald.Harrison@demoexample.com,Human Resources,Europe,Munich,FALSE,Contractor,"R01e, L02e"
1b2b3a4d,Jean,Gibson,1b2b3a,Jean.Gibson,Jean.Gibson@demoexample.com,Human Resources,Europe,Munich,FALSE,Contractor,"R01e, L02e"
1b2b3b4c,Mildred,Ortiz,1b2b3b,Mildred.Ortiz,Mildred.Ortiz@demoexample.com,Human Resources,Europe,Munich,FALSE,Contractor,"R01e, L02e"
